audio_path,start,end,duration,text_spoken
/data1/eunju/datasets/mathspeech/dataset/425.mp3,0.0,8.249958333333334,8.249958333333334,1 over n cubed times the sum i squared. i equals 1 to n
/data1/eunju/datasets/mathspeech/dataset/329.mp3,0.0,5.561958333333333,5.561958333333333,x is equal to 2 to the 1 3rd v to the 1 3rd
/data1/eunju/datasets/mathspeech/dataset/579.mp3,0.0,4.121958333333334,4.121958333333334,x is equal to two tan u
/data1/eunju/datasets/mathspeech/dataset/798.mp3,0.0,5.777958333333333,5.777958333333333,dy equals f prime of x times dx
/data1/eunju/datasets/mathspeech/dataset/482.mp3,0.0,5.849958333333333,5.849958333333333,2 pi a x minus x cubed
/data1/eunju/datasets/mathspeech/dataset/41.mp3,0.0,5.465958333333333,5.465958333333333,minus x squared sine squared x
/data1/eunju/datasets/mathspeech/dataset/661.mp3,0.0,2.8499583333333334,2.8499583333333334,v is equal to x squared over two
/data1/eunju/datasets/mathspeech/dataset/926.mp3,0.0,3.3539583333333334,3.3539583333333334,Nx minus My dA
/data1/eunju/datasets/mathspeech/dataset/522.mp3,0.0,9.281958333333334,9.281958333333334,1 quarter of 1 minus the cosine of 4x divided by 2
/data1/eunju/datasets/mathspeech/dataset/846.mp3,0.0,8.681958333333334,8.681958333333334,dz equals minus one over six times four dx plus dy
/data1/eunju/datasets/mathspeech/dataset/740.mp3,0.0,3.4019583333333334,3.4019583333333334, t minus sine t
/data1/eunju/datasets/mathspeech/dataset/789.mp3,0.0,6.761958333333333,6.761958333333333,y squared times a times x over y squared
/data1/eunju/datasets/mathspeech/dataset/369.mp3,0.0,3.3779583333333334,3.3779583333333334,five halves over x zero
/data1/eunju/datasets/mathspeech/dataset/998.mp3,0.0,5.369958333333333,5.369958333333333,f equals x squared y plus g
/data1/eunju/datasets/mathspeech/dataset/847.mp3,0.0,6.425958333333333,6.425958333333333,partial z over partial x is minus four over six
/data1/eunju/datasets/mathspeech/dataset/557.mp3,0.0,7.241958333333334,7.241958333333334,natural log of x minus 1 plus 3 times natural log of x plus 3
/data1/eunju/datasets/mathspeech/dataset/389.mp3,0.0,3.7139583333333333,3.7139583333333333,one-third x to the minus two thirds
/data1/eunju/datasets/mathspeech/dataset/517.mp3,0.0,4.649958333333333,4.649958333333333,one plus the coisine of two theta over two
/data1/eunju/datasets/mathspeech/dataset/443.mp3,0.0,2.2739583333333333,2.2739583333333333,b greater than or equal to 0
/data1/eunju/datasets/mathspeech/dataset/788.mp3,0.0,6.881958333333333,6.881958333333333, a times x plus b over 2a times y squared
/data1/eunju/datasets/mathspeech/dataset/471.mp3,0.0,5.585958333333333,5.585958333333333,y minus two times y plus one is equal to zero
/data1/eunju/datasets/mathspeech/dataset/55.mp3,0.0,5.297958333333334,5.297958333333334,y equals arctan x
/data1/eunju/datasets/mathspeech/dataset/413.mp3,0.0,3.7619583333333333,3.7619583333333333,a half sine squared plus cosine squared
/data1/eunju/datasets/mathspeech/dataset/34.mp3,0.0,9.449958333333333,9.449958333333333,pi over 3 sine x plus sine pi over 3 cosine x
/data1/eunju/datasets/mathspeech/dataset/419.mp3,0.0,3.665958333333333,3.665958333333333,1 3rd n cubed
/data1/eunju/datasets/mathspeech/dataset/930.mp3,0.0,2.9219583333333334,2.9219583333333334,square root of x squared plus y squared
/data1/eunju/datasets/mathspeech/dataset/367.mp3,0.0,2.633958333333333,2.633958333333333,x0 squared minus 5
